,0,1,2
480,16.94,144.6,1.0
481,30.08,150.45,1.0
482,24.98,201.65,2.0
483,57.91,191.97,2.0
484,105.97,197.75,2.0
485,4.16,215.54,1.0
486,32.75,136.46,1.0
487,35.33,167.64,2.0
488,51.85,185.86,2.0
489,94.34,191.81,2.0
490,5.86,181.52,1.0
491,21.07,149.27,2.0
492,37.92,154.62,2.0
493,55.82,171.25,2.0
494,86.52,186.43,2.0
495,15.05,126.22,1.0
496,20.98,142.36,2.0
497,29.51,160.07,2.0
498,50.47,168.65,2.0
499,96.17,171.39,2.0
500,16.19,129.59,1.0
501,90.54,91.99,1.0
502,219.73,86.25,1.0
503,42.49,187.91,2.0
504,70.85,199.65,2.0
505,32.43,94.2,1.0
506,120.56,76.61,1.0
507,165.1,86.92,1.0
508,48.6,164.63,2.0
509,82.94,173.57,2.0
510,30.1,90.11,1.0
511,143.62,67.44,1.0
512,205.15,75.45,1.0
513,41.27,162.23,2.0
514,84.23,161.13,2.0
515,53.38,70.3,1.0
516,83.61,76.27,1.0
517,152.12,78.71,1.0
518,38.8,156.39,2.0
519,101.89,142.81,2.0
520,50.17,68.35,1.0
521,94.92,69.62,1.0
522,27.29,132.92,2.0
523,44.97,141.78,2.0
524,96.71,138.39,2.0
525,16.96,145.46,1.0
526,62.88,118.41,1.0
527,85.7,134.56,1.0
528,146.78,141.69,2.0
529,365.91,131.66,2.0
530,26.07,115.48,1.0
531,46.13,120.29,1.0
532,173.27,97.5,1.0
533,136.15,133.12,2.0
534,383.4,118.77,2.0
535,21.68,114.59,1.0
536,73.85,95.96,1.0
537,131.81,99.67,1.0
538,154.72,119.04,2.0
539,303.63,119.79,2.0
540,23.19,105.81,1.0
541,72.35,91.24,1.0
542,112.31,99.28,2.0
543,158.79,111.44,2.0
544,356.57,107.22,2.0
545,36.64,86.52,1.0
546,58.94,93.03,1.0
547,77.18,107.13,2.0
548,180.92,101.61,2.0
549,381.05,99.87,2.0
550,22.51,145.31,1.0
551,31.02,164.53,1.0
552,31.36,206.54,2.0
553,84.47,187.02,2.0
554,171.7,186.02,2.0
555,19.42,139.86,1.0
556,48.16,130.19,1.0
557,35.67,181.29,2.0
558,93.5,165.66,2.0
559,158.71,174.97,2.0
560,14.81,142.86,1.0
561,37.63,131.89,1.0
562,33.27,173.15,2.0
563,76.24,165.46,2.0
564,174.03,158.33,2.0
565,8.48,162.45,1.0
566,34.39,128.35,1.0
567,52.63,140.32,2.0
568,77.45,155.43,2.0
569,140.73,160.48,2.0
570,15.88,125.51,1.0
571,28.31,130.41,2.0
572,38.78,147.95,2.0
573,103.49,134.38,2.0
574,167.12,144.32,2.0
575,40.99,167.69,1.0
576,30.84,232.3,2.0
577,58.63,236.27,2.0
578,113.86,238.59,2.0
579,248.32,231.81,2.0
580,42.31,152.04,1.0
581,31.59,211.15,2.0
582,65.01,209.15,2.0
583,109.46,221.51,2.0
584,241.77,214.3,2.0
585,44.9,139.09,1.0
586,36.96,186.99,2.0
587,49.56,213.65,2.0
588,101.41,212.02,2.0
589,247.82,198.32,2.0
590,37.91,138.96,1.0
591,41.69,169.62,2.0
592,70.27,179.58,2.0
593,126.09,186.2,2.0
594,238.06,189.81,2.0
595,57.84,114.96,1.0
596,39.97,163.82,2.0
597,69.17,171.92,2.0
598,152.14,166.56,2.0
599,247.31,178.47,2.0
600,13.4,200.65,1.0
601,38.16,178.35,1.0
602,19.65,280.38,2.0
603,43.47,271.09,2.0
604,68.33,293.76,2.0
605,9.38,207.04,1.0
606,28.5,180.12,1.0
607,20.12,254.87,2.0
608,37.75,260.36,2.0
