,0,1,2,3,4,5,6,7
319,125.0,2.0,6.0,1.5,3.5,2.0,19.0,1.057536
320,125.0,2.0,6.0,1.5,3.5,2.0,22.0,0.066096
321,125.0,2.0,6.0,1.5,3.5,2.0,22.0,0.132192
322,125.0,2.0,6.0,1.5,3.5,2.0,22.0,0.264384
323,125.0,2.0,6.0,1.5,3.5,2.0,22.0,0.528768
324,125.0,2.0,6.0,1.5,3.5,2.0,22.0,1.057536
325,125.0,2.5,2.0,2.0,4.0,2.5,10.0,0.066096
326,125.0,2.5,2.0,2.0,4.0,2.5,10.0,0.132192
327,125.0,2.5,2.0,2.0,4.0,2.5,10.0,0.264384
328,125.0,2.5,2.0,2.0,4.0,2.5,10.0,0.528768
329,125.0,2.5,2.0,2.0,4.0,2.5,10.0,1.057536
330,125.0,2.5,2.0,2.0,4.0,2.5,13.0,0.066096
331,125.0,2.5,2.0,2.0,4.0,2.5,13.0,0.132192
332,125.0,2.5,2.0,2.0,4.0,2.5,13.0,0.264384
333,125.0,2.5,2.0,2.0,4.0,2.5,13.0,0.528768
334,125.0,2.5,2.0,2.0,4.0,2.5,13.0,1.057536
335,125.0,2.5,2.0,2.0,4.0,2.5,16.0,0.066096
336,125.0,2.5,2.0,2.0,4.0,2.5,16.0,0.132192
337,125.0,2.5,2.0,2.0,4.0,2.5,16.0,0.264384
338,125.0,2.5,2.0,2.0,4.0,2.5,16.0,0.528768
339,125.0,2.5,2.0,2.0,4.0,2.5,16.0,1.057536
340,125.0,2.5,2.0,2.0,4.0,2.5,19.0,0.066096
341,125.0,2.5,2.0,2.0,4.0,2.5,19.0,0.132192
342,125.0,2.5,2.0,2.0,4.0,2.5,19.0,0.264384
343,125.0,2.5,2.0,2.0,4.0,2.5,19.0,0.528768
344,125.0,2.5,2.0,2.0,4.0,2.5,19.0,1.057536
345,125.0,2.5,2.0,2.0,4.0,2.5,22.0,0.066096
346,125.0,2.5,2.0,2.0,4.0,2.5,22.0,0.132192
347,125.0,2.5,2.0,2.0,4.0,2.5,22.0,0.264384
348,125.0,2.5,2.0,2.0,4.0,2.5,22.0,0.528768
349,125.0,2.5,2.0,2.0,4.0,2.5,22.0,1.057536
350,125.0,3.0,3.0,2.5,2.0,3.0,10.0,0.066096
351,125.0,3.0,3.0,2.5,2.0,3.0,10.0,0.132192
352,125.0,3.0,3.0,2.5,2.0,3.0,10.0,0.264384
353,125.0,3.0,3.0,2.5,2.0,3.0,10.0,0.528768
354,125.0,3.0,3.0,2.5,2.0,3.0,10.0,1.057536
355,125.0,3.0,3.0,2.5,2.0,3.0,13.0,0.066096
356,125.0,3.0,3.0,2.5,2.0,3.0,13.0,0.132192
357,125.0,3.0,3.0,2.5,2.0,3.0,13.0,0.264384
358,125.0,3.0,3.0,2.5,2.0,3.0,13.0,0.528768
359,125.0,3.0,3.0,2.5,2.0,3.0,13.0,1.057536
360,125.0,3.0,3.0,2.5,2.0,3.0,16.0,0.066096
361,125.0,3.0,3.0,2.5,2.0,3.0,16.0,0.132192
362,125.0,3.0,3.0,2.5,2.0,3.0,16.0,0.264384
363,125.0,3.0,3.0,2.5,2.0,3.0,16.0,0.528768
364,125.0,3.0,3.0,2.5,2.0,3.0,16.0,1.057536
